trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,8,-0.6731682833189918,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.09944025698709225}",20,0,-35.21936996589606,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.95, 'e': 0.09446824413773763}",25,2,31.284875436963354,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.08974483193085075}",35,21,9.797556582344278,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.0852575903343082}",25,15,-24.48723604507162,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
48,False,"{'a': 0.95, 'e': 0.0809947108175928}",20,5,24.80111734906299,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.07694497527671315}",20,0,34.90687933816294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07309772651287749}",30,15,26.783356974928985,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.95, 'e': 0.06944284018723361}",20,9,-20.82891287232644,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
52,False,"{'a': 0.95, 'e': 0.06597069817787193}",25,0,7.530098155650111,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.95, 'e': 0.06267216326897833}",25,16,16.70468570648597,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.95, 'e': 0.05953855510552941}",30,10,35.09573612663617,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.95, 'e': 0.056561627350252934}",20,0,17.75600961886403,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.95, 'e': 0.053733545982740286}",30,10,9.908146419191038,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.95, 'e': 0.051046868683603266}",20,0,20.521893361951403,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
